inpX inpY inpRad outpX outpY outpRad lnkUsg
59.21 119.99 13.1 -44.51 0 6.3 3
87.22 19.83 15.3 -32.16 23.37 5.9 4
181.61 186.52 10.1 11.2 -15.42 4.2 2
92.58 187.41 12.6 -29.43 -14.99 5.3 6
100.01 179.98 11.5 -25.66 -13.07 5 0
100.01 179.98 11.5 -29.43 -14.99 5.3 0
179.4 114.692 4.7 7.16 1.13 3.2 0
179.4 114.692 4.7 5.44 1.77 3 0
160 155.04 6.6 2.72 -8.38 3.3 2
94.14 29.35 14.2 -28.49 20.7 5.5 0
145.08 25.82 12.6 5.16 32.619 5.3 0
100.01 60.01 11.5 -29.43 14.99 5.3 0
162.56 103.77 4.7 1.22 0.62 2.6 1
68.14 28.14 15.9 -36.01 26.16 6.3 0
121.48 44.41 11.5 -17.01 33.38 5.7 0
69.97 119.99 12 -44.51 0 6.3 0
101.89 149.6 9.6 -25.45 -8.26 4.8 2
111.71 25.24 13.6 -18.15 24.99 5.2 0
145.86 147.74 6.2 -3.36 -4.63 3 0
