Timestamp, Week, ExperimentPhase, isFixated, isHandOpen, ReachTriggered, CurrArm, ReachStatus, ReachDist, X, Y, Z, GlobExcitation, RetinaEx, FovEx, ArmEx, HandEx, EyeEx
1432314428, 7, 2, 0, 0, 0, r, reaching, 0.16729, -0.213707, 0.0497105, 0.379708, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314428, 7, 2, 0, 0, 1, l, reaching, 0.16729, -0.213707, 0.0497105, 0.379708, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314429, 7, 2, 0, 0, 0, l, reaching, 0.0938524, -0.293712, -0.257812, 0.225308, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
Timestamp, Week, ExperimentPhase, isFixated, isHandOpen, ReachTriggered, CurrArm, ReachStatus, ReachDist, X, Y, Z, GlobExcitation, RetinaEx, FovEx, ArmEx, HandEx, EyeEx
1432314482, 16, 1, 0, 0, 0, b, home, 0, 0, 0, 0, 0.564257, 0.5, 0.425, 0.285285, 0.671, 0.94, 
1432314491, 16, 1, 0, 0, 0, b, home, 0, 0, 0, 0, 0.564257, 0.5, 0.425, 0.285285, 0.671, 0.94, 
1432314491, 16, 1, 0, 0, 1, r, home, 0, 0, 0, 0, 0.564257, 0.5, 0.425, 0.285285, 0.671, 0.94, 
1432314496, 16, 1, 0, 0, 0, r, reaching, 0.104873, -0.290706, 0.238052, 0.23344, 0.564257, 0.5, 0.425, 0.285285, 0.671, 0.94, 
1432314497, 16, 1, 1, 0, 0, r, complete, 0.110193, -0.293401, 0.244352, 0.230677, 0.564257, 0.5, 0.425, 0.285285, 0.671, 0.94, 
1432314499, 16, 1, 0, 0, 0, r, waiting, 0.110193, -0.293401, 0.244352, 0.230677, 0.564257, 0.5, 0.425, 0.285285, 0.671, 0.94, 
1432314501, 16, 1, 1, 1, 1, l, reaching, 0.20708, -0.205001, -0.234333, 0.358693, 0.564257, 0.5, 0.425, 0.285285, 0.671, 0.94, 
1432314508, 16, 1, 0, 1, 0, l, complete, 0.150092, -0.319291, -0.106235, 0.230539, 0.564257, 0.5, 0.425, 0.285285, 0.671, 0.94, 
1432314519, 16, 1, 1, 1, 0, l, waiting, 0.150092, -0.319291, -0.106235, 0.230539, 0.564257, 0.5, 0.425, 0.285285, 0.671, 0.94, 
1432314521, 16, 1, 1, 1, 1, l, reaching, 0.175573, -0.331535, -0.115602, 0.204204, 0.564257, 0.5, 0.425, 0.285285, 0.671, 0.94, 
1432314521, 16, 1, 1, 1, 0, l, complete, 0.175375, -0.331989, -0.122967, 0.212525, 0.564257, 0.5, 0.425, 0.285285, 0.671, 0.94, 
1432314534, 16, 1, 0, 1, 0, l, waiting, 0.175375, -0.331989, -0.122967, 0.212525, 0.564257, 0.5, 0.425, 0.285285, 0.671, 0.94, 
1432314535, 16, 1, 1, 1, 1, l, reaching, 0.195552, -0.337952, -0.119871, 0.20201, 0.564257, 0.5, 0.425, 0.285285, 0.671, 0.94, 
1432314537, 16, 1, 1, 1, 0, l, complete, 0.194824, -0.337507, -0.122475, 0.205787, 0.564257, 0.5, 0.425, 0.285285, 0.671, 0.94, 
1432314542, 16, 1, 1, 0, 0, b, home, 0, 0, 0, 0, 0.564257, 0.5, 0.425, 0.285285, 0.671, 0.94, 
1432314543, 16, 1, 1, 1, 1, l, home, 0, 0, 0, 0, 0.564257, 0.5, 0.425, 0.285285, 0.671, 0.94, 
1432314553, 16, 1, 0, 1, 0, l, complete, 0.152315, -0.315157, -0.0838779, 0.221251, 0.564257, 0.5, 0.425, 0.285285, 0.671, 0.94, 
1432314560, 16, 1, 0, 1, 0, l, waiting, 0.152315, -0.315157, -0.0838779, 0.221251, 0.564257, 0.5, 0.425, 0.285285, 0.671, 0.94, 
1432314573, 16, 0, 0, 1, 0, l, waiting, 0.152315, -0.315157, -0.0838779, 0.221251, 0.564257, 0.5, 0.425, 0.285285, 0.671, 0.94, 
1432314587, 16, 0, 0, 1, 0, b, home, 0, 0, 0, 0, 0.564257, 0.5, 0.425, 0.285285, 0.671, 0.94, 
1432314593, 16, 0, 0, 1, 0, b, home, 0, 0, 0, 0, 0.564257, 0.5, 0.425, 0.285285, 0.671, 0.94, 
1432314595, 16, 0, 0, 1, 1, l, reaching, 0.110329, -0.19416, -0.231809, 0.367855, 0.564257, 0.5, 0.425, 0.285285, 0.671, 0.94, 
1432314600, 16, 0, 0, 1, 0, l, complete, 0.101425, -0.284805, -0.18535, 0.313164, 0.564257, 0.5, 0.425, 0.285285, 0.671, 0.94, 
1432314610, 16, 0, 0, 0, 0, b, home, 0, 0, 0, 0, 0.564257, 0.5, 0.425, 0.285285, 0.671, 0.94, 
1432314614, 16, 0, 0, 0, 0, b, home, 0, 0, 0, 0, 0.564257, 0.5, 0.425, 0.285285, 0.671, 0.94, 
1432314622, 16, 0, 0, 0, 0, b, home, 0, 0, 0, 0, 0.564257, 0.5, 0.425, 0.285285, 0.671, 0.94, 
1432314622, 16, 0, 0, 0, 1, r, home, 0, 0, 0, 0, 0.564257, 0.5, 0.425, 0.285285, 0.671, 0.94, 
