Timestamp, Week, ExperimentPhase, isFixated, isHandOpen, ReachTriggered, CurrArm, ReachStatus, ReachDist, X, Y, Z, GlobExcitation, RetinaEx, FovEx, ArmEx, HandEx, EyeEx
Timestamp, Week, ExperimentPhase, isFixated, isHandOpen, ReachTriggered, CurrArm, ReachStatus, ReachDist, X, Y, Z, GlobExcitation, RetinaEx, FovEx, ArmEx, HandEx, EyeEx
1431549563, 7, 1, 0, 1, 0, b, home, 0, 0, 0, 0, 0.187752, 0.100012, 0.35125, 0.025, 0.225, 0.2375, 
1431549565, 7, 1, 0, 1, 0, b, home, 0, 0, 0, 0, 0.161001, 0.100003, 0.33625, 0.025, 0.225, 0.11875, 
1431549568, 7, 1, 0, 1, 0, b, home, 0, 0, 0, 0, 0.146125, 0.100001, 0.32125, 0.025, 0.225, 0.059375, 
1431549573, 7, 1, 0, 1, 0, b, home, 0, 0, 0, 0, 0.137188, 0.1, 0.30625, 0.025, 0.225, 0.0296875, 
1431549575, 7, 1, 0, 1, 0, b, home, 0, 0, 0, 0, 0.31825, 0.1, 0.29125, 0.025, 0.225, 0.95, 
1431549576, 7, 1, 1, 1, 0, b, home, 0, 0, 0, 0, 0.31825, 0.1, 0.29125, 0.025, 0.225, 0.95, 
1431549577, 7, 1, 1, 1, 0, b, home, 0, 0, 0, 0, 0.31825, 0.1, 0.29125, 0.025, 0.225, 0.95, 
1431549578, 7, 1, 1, 1, 0, b, home, 0, 0, 0, 0, 0.31825, 0.1, 0.29125, 0.025, 0.225, 0.95, 
1431549580, 7, 1, 0, 1, 0, b, home, 0, 0, 0, 0, 0.31825, 0.1, 0.29125, 0.025, 0.225, 0.95, 
1431549583, 7, 1, 1, 1, 0, b, home, 0, 0, 0, 0, 0.22325, 0.1, 0.29125, 0.025, 0.225, 0.475, 
1431549586, 7, 1, 0, 1, 0, b, home, 0, 0, 0, 0, 0.17575, 0.1, 0.29125, 0.025, 0.225, 0.2375, 
1431549589, 7, 1, 1, 1, 0, b, home, 0, 0, 0, 0, 0.149, 0.1, 0.27625, 0.025, 0.225, 0.11875, 
1431549594, 7, 1, 1, 1, 0, b, home, 0, 0, 0, 0, 0.31225, 0.1, 0.26125, 0.025, 0.225, 0.95, 
1431549598, 7, 1, 0, 1, 0, b, home, 0, 0, 0, 0, 0.21725, 0.1, 0.26125, 0.025, 0.225, 0.475, 
1431549600, 7, 1, 1, 1, 0, b, home, 0, 0, 0, 0, 0.16975, 0.1, 0.26125, 0.025, 0.225, 0.2375, 
1431549601, 7, 1, 1, 1, 0, b, home, 0, 0, 0, 0, 0.30925, 0.1, 0.24625, 0.025, 0.225, 0.95, 
1431549602, 7, 1, 1, 1, 0, b, home, 0, 0, 0, 0, 0.30925, 0.1, 0.24625, 0.025, 0.225, 0.95, 
1431549603, 7, 1, 1, 1, 0, b, home, 0, 0, 0, 0, 0.30925, 0.1, 0.24625, 0.025, 0.225, 0.95, 
1431549604, 7, 1, 1, 1, 0, b, home, 0, 0, 0, 0, 0.30925, 0.1, 0.24625, 0.025, 0.225, 0.95, 
1431549606, 7, 1, 1, 1, 0, b, home, 0, 0, 0, 0, 0.30925, 0.1, 0.24625, 0.025, 0.225, 0.95, 
1431549607, 7, 1, 1, 1, 0, b, home, 0, 0, 0, 0, 0.30925, 0.1, 0.24625, 0.025, 0.225, 0.95, 
1431549608, 7, 1, 1, 1, 0, b, home, 0, 0, 0, 0, 0.30925, 0.1, 0.24625, 0.025, 0.225, 0.95, 
1431549609, 7, 1, 1, 1, 0, b, home, 0, 0, 0, 0, 0.30925, 0.1, 0.24625, 0.025, 0.225, 0.95, 
1431549610, 7, 1, 1, 1, 0, b, home, 0, 0, 0, 0, 0.30925, 0.1, 0.24625, 0.025, 0.225, 0.95, 
1431549612, 7, 1, 1, 1, 0, b, home, 0, 0, 0, 0, 0.30925, 0.1, 0.24625, 0.025, 0.225, 0.95, 
1431549614, 7, 1, 0, 1, 0, b, home, 0, 0, 0, 0, 0.21425, 0.1, 0.24625, 0.025, 0.225, 0.475, 
1431549618, 7, 1, 0, 1, 0, b, home, 0, 0, 0, 0, 0.16675, 0.1, 0.24625, 0.025, 0.225, 0.2375, 
1431549620, 7, 1, 0, 1, 0, b, home, 0, 0, 0, 0, 0.14, 0.1, 0.23125, 0.025, 0.225, 0.11875, 
1431549623, 7, 1, 0, 1, 0, b, home, 0, 0, 0, 0, 0.14, 0.1, 0.23125, 0.025, 0.225, 0.11875, 
1431549627, 7, 0, 0, 1, 0, b, home, 0, 0, 0, 0, 0.14, 0.1, 0.23125, 0.025, 0.225, 0.11875, 
1431549627, 7, 0, 0, 1, 0, b, home, 0, 0, 0, 0, 0.125125, 0.1, 0.21625, 0.025, 0.225, 0.059375, 
1431549630, 7, 0, 0, 1, 1, l, reaching, 0.180286, -0.185943, -0.236953, 0.373608, 0.125125, 0.1, 0.21625, 0.025, 0.225, 0.059375, 
1431549631, 7, 0, 0, 0, 1, r, reaching, 0.319062, -0.118105, 0.238756, 0.400132, 0.140125, 0.1, 0.21625, 0.1, 0.225, 0.059375, 
1431549636, 7, 0, 0, 1, 1, r, reaching, 0.285293, -0.146184, 0.212922, 0.401468, 0.140125, 0.1, 0.21625, 0.1, 0.225, 0.059375, 
1431549641, 7, 0, 0, 1, 1, l, reaching, 0.0831382, -0.27417, -0.232688, 0.270638, 0.140125, 0.1, 0.21625, 0.1, 0.225, 0.059375, 
1431549643, 7, 0, 0, 1, 1, r, reaching, 0.247871, -0.161569, 0.146778, 0.412255, 0.155987, 0.1, 0.21625, 0.179309, 0.225, 0.059375, 
1431549650, 7, 0, 0, 0, 1, r, reaching, 0.180112, -0.194401, 0.041201, 0.375658, 0.140125, 0.1, 0.21625, 0.1, 0.225, 0.059375, 
1431549653, 7, 0, 0, 0, 1, r, reaching, 0.176461, -0.199913, 0.0346675, 0.376204, 0.140125, 0.1, 0.21625, 0.1, 0.225, 0.059375, 
1431549656, 7, 0, 0, 1, 1, l, reaching, 0.0944822, -0.29854, -0.259843, 0.221375, 0.140125, 0.1, 0.21625, 0.1, 0.225, 0.059375, 
1431549657, 7, 0, 0, 1, 0, l, complete, 0.0937312, -0.298924, -0.258832, 0.221905, 0.147653, 0.1, 0.21625, 0.137639, 0.225, 0.059375, 
1431549667, 7, 0, 0, 1, 1, l, reaching, 0.196018, -0.172451, -0.237254, 0.38208, 0.147653, 0.1, 0.21625, 0.137639, 0.225, 0.059375, 
1431549670, 7, 0, 0, 1, 1, l, reaching, 0.0900418, -0.262302, -0.230844, 0.292953, 0.140125, 0.1, 0.21625, 0.1, 0.225, 0.059375, 
1431549673, 7, 0, 0, 1, 0, l, complete, 0.0913948, -0.296555, -0.256733, 0.226167, 0.156845, 0.1, 0.21625, 0.1836, 0.225, 0.059375, 
1431549680, 7, 0, 0, 1, 1, l, reaching, 0.109335, -0.243681, -0.235171, 0.32075, 0.156845, 0.1, 0.21625, 0.1836, 0.225, 0.059375, 
1431549684, 7, 0, 0, 1, 1, l, reaching, 0.0883483, -0.295766, -0.259314, 0.230881, 0.152192, 0.1, 0.21625, 0.160335, 0.225, 0.059375, 
