inpX inpY inpRad outpX outpY outpRad lnkUsg
160 29.97 12 0 22.81 4.5 0
270.06 9.93 18.4 29.77 29.77 6.1 0
232.77 19.83 15.3 18.15 24.99 5.2 4
270.06 9.93 18.4 36.01 26.16 6.3 0
125.2 137.72 7 -10.29 -1.63 3.4 1
194.91 145.36 7.4 7.37 -7.37 3.4 1
106.49 225.01 14.7 -17.01 -33.38 5.7 4
86.12 108.29 10.5 -24.46 3.87 4.6 7
86.12 108.29 10.5 -22.81 0 4.5 0
180.59 148.35 6.6 2.72 -8.38 3.3 1
166.79 113.2 4 1.22 0.62 2.6 6
100.76 38.46 13.1 -13.75 42.33 6.3 0
203.28 204.95 12.6 11.24 -22.06 4.6 1
136.69 116.3 5.5 -7.16 -1.13 3.2 1
143.36 14.96 13.6 -9.54 29.38 5.2 0
143.36 14.96 13.6 -13.07 25.66 5 0
179.96 120 5.1 2.65 0.86 2.8 0
191.66 113.029 5.8 10.29 1.63 3.4 0
191.702 113.022 5.8 8.38 2.72 3.3 0
191.702 113.022 5.8 10.29 1.63 3.4 0
209.96 94.54 8.7 14.72 4.78 3.9 0
286.96 55.3 17.1 33.38 17.01 5.7 -1
181.02 109.28 5.5 6.46 3.29 3.2 1
235.19 44.8 13.6 23.35 23.35 5.3 2
286.96 55.3 17.1 37.52 19.11 6.1 2
255.502 91.663 12.6 29.38 9.54 5.2 0
255.568 91.621 12.6 25.45 8.26 4.8 0
255.568 91.621 12.6 29.38 9.54 5.2 0
243.34 36.65 14.7 23.35 23.35 5.3 -1
244.95 76.71 12.6 22.06 11.24 4.6 4
243.34 36.65 14.7 20.36 20.36 5 0
160 19.21 13.1 0 26.76 4.8 0
145.08 25.82 12.6 -6.58 41.59 6.1 0
135.35 44.14 11 -9.49 18.63 4.3 0
132.17 205.62 12 -8.26 -25.45 4.8 0
160 220.78 13.1 0 -35.22 5.5 0
132.17 205.62 12 -9.54 -29.38 5.2 1
95.47 166.88 11 -18.46 -13.41 4.5 0
160 126.32 3.7 1.22 0.62 2.6 2
95.47 166.88 11 -18.63 -9.49 4.3 0
157.43 136.22 4.7 1.22 0.62 2.6 1
181.5 77.8 7.8 6.24 12.25 3.7 0
