inpX inpY inpRad outpX outpY outpRad lnkUsg
149.28 141.02 5.5 0 -8.81 3.3 1
87.16 67.08 12 -17.51 17.51 4.6 0
135.35 44.14 11 -3.27 20.66 4.3 0
87.16 67.08 12 -14.79 14.79 4.3 0
69.35 54.14 14.2 -24.99 18.15 5.2 0
169.48 121.5 4 1.22 0.62 2.6 1
157.43 136.22 4.7 -3.36 -4.63 3 0
69.35 54.14 14.2 -28.49 20.7 5.5 0
110.97 155.61 9.1 -12.52 -9.09 3.9 0
173.27 203.78 11.5 4.5 -28.44 5 1
164.87 150.75 6.2 -1.63 -10.29 3.4 1
215.435 106.813 8.7 17.03 2.69 4 0
215.344 106.833 8.7 17.03 2.69 4 1
137.98 97.98 6.2 -5.13 5.13 3.2 1
